word,question,generated,expected
Taylor Swift,"In August 2025 reporting about a major pop tour and business milestones, what artist name dominated headlines?",Taylor Swift was the artist name dominating that late-summer coverage.,Taylor Swift was the artist name dominating that late-summer coverage.
"Nov 4, 2025",When was James Solomon elected to serve as the Mayor of Jersey City?,"Nov 4, 2025","Nov 4, 2025"
iPhone,"At Apple’s September 2025 product launch, what flagship smartphone line was unveiled?",Apple unveiled the iPhone lineup during its September 2025 event.,Apple unveiled the iPhone lineup during its September 2025 event.
AWS re:Invent,"What major cloud computing conference took place in Las Vegas from December 1st to December 5th, 2025?",AWS re:Invent,AWS re:Invent
Fire,What word completes the official title of the third installment in James Cameron's Na'vi saga: Avatar: ___ and Ash?,Fire,Fire
Cillian Murphy,"In late-December 2025, Netflix released a teaser for a “Peaky Blinders” film—what actor’s name was highlighted as returning?",Cillian Murphy was highlighted as returning in the “Peaky Blinders” film teaser.,Cillian Murphy was highlighted as returning in the “Peaky Blinders” film teaser.
Glastonbury,"In September 2025, festival organizers confirmed dates for the next edition after the fallow year—what festival name was referenced?",Glastonbury was the festival name referenced in the 2025 date confirmation.,Glastonbury was the festival name referenced in the 2027 date confirmation.
Pixel,Coverage of Google’s 2025 hardware updates focused on a specific phone family—what was it called?,Pixel was the phone family referenced in the announcement.,The Pixel line was the phone family highlighted in the announcement.
Lewis Hamilton,"In late-2025 Formula 1 coverage about team dynamics and future plans, which driver name was repeatedly cited?",Lewis Hamilton was central to the discussion about top-team direction.,Lewis Hamilton was central to the discussion about top-team direction.
Magnesium,"To prevent the disruption of Vitamin D balance, a December 2025 study recommends monitoring the intake of which mineral?",Magnesium,Magnesium
The White Lotus,"In July 2025 Emmy-nomination coverage, which luxury-resort satire was listed among top drama contenders?",The White Lotus was listed among the drama contenders.,The White Lotus was listed among the drama contenders.
US election,Coverage about campaign strategy and headwinds for the coming U.S. vote used what two-word phrase?,The US election was the phrase used to describe the coming national contest.,The US election was the phrase used to describe the coming national contest.
Tron: Ares,"In mid-2025, Disney promoted the next installment of its digital-world sci-fi franchise; what was the film titled?",Tron: Ares was the title of the promoted installment.,Tron: Ares was the title of the promoted installment.
Ariana Grande,Reporting around a major U.S. music awards broadcast repeatedly cited a specific pop vocalist—who was it?,Ariana Grande was one of the names emphasized in the reporting.,Ariana Grande was one of the names emphasized in the reporting.
