word,question,answer
Justin Bibb,"On November 4, 2025, who was re-elected to serve as the Mayor of Cleveland?",Justin Bibb
"Nov 4, 2025",When was Aftab Pureval re-elected to serve as the Mayor of Cincinnati?,"Nov 4, 2025"
Aftab Pureval,"On November 4, 2025, who was re-elected to serve as the Mayor of Cincinnati?",Aftab Pureval
"Nov 4, 2025",When was Wade Kapszukiewicz re-elected to serve as the Mayor of Toledo?,"Nov 4, 2025"
Wade Kapszukiewicz,"On November 4, 2025, who was re-elected to serve as the Mayor of Toledo?",Wade Kapszukiewicz
"Nov 4, 2025",When was Michelle Wu re-elected to serve as the Mayor of Boston?,"Nov 4, 2025"
Michelle Wu,"On November 4, 2025, who was re-elected to serve as the Mayor of Boston?",Michelle Wu
"Nov 4, 2025",When was Andre Dickens re-elected to serve as the Mayor of Atlanta?,"Nov 4, 2025"
Andre Dickens,"On November 4, 2025, who was re-elected to serve as the Mayor of Atlanta?",Andre Dickens
"Nov 4, 2025",When was Andy Schor re-elected to serve as the Mayor of Lansing?,"Nov 4, 2025"
Andy Schor,"On November 4, 2025, who was re-elected to serve as the Mayor of Lansing?",Andy Schor
"Nov 4, 2025",When was Jacob Frey re-elected to serve as the Mayor of Minneapolis?,"Nov 4, 2025"
Jacob Frey,"On November 4, 2025, who was re-elected to serve as the Mayor of Minneapolis?",Jacob Frey
"Nov 4, 2025",When was Kaohly Her elected to serve as the Mayor of St. Paul?,"Nov 4, 2025"
Kaohly Her,"On November 4, 2025, who was elected to serve as the Mayor of St. Paul?",Kaohly Her
"Nov 4, 2025","When was Byron Champlin re-elected to serve as the Mayor of Concord, NH?","Nov 4, 2025"
Byron Champlin,"On November 4, 2025, who was re-elected to serve as the Mayor of Concord, NH?",Byron Champlin
"Nov 4, 2025",When was Tim Keller re-elected to serve as the Mayor of Albuquerque?,"Nov 4, 2025"
Tim Keller,"On November 4, 2025, who was re-elected to serve as the Mayor of Albuquerque?",Tim Keller
"Nov 4, 2025",When was Mary Sheffield elected to serve as the Mayor of Detroit?,"Nov 4, 2025"
Mary Sheffield,"On November 4, 2025, who was elected to serve as the Mayor of Detroit?",Mary Sheffield
