subj,prop,obj,question,answers_list,s_pop,o_pop
The Marriage Circle,producer,Ernst Lubitsch,Who was the producer of The Marriage Circle?,['Ernst Lubitsch'],499,7437
It Takes Two,producer,Dean Shek,Who was the producer of It Takes Two?,['Dean Shek'],244,1686
The Distance,producer,Simon Climie,Who was the producer of The Distance?,['Simon Climie'],232,3282
Saanch Ko Aanch Nahin,producer,Tarachand Barjatya,Who was the producer of Saanch Ko Aanch Nahin?,['Tarachand Barjatya'],448,3640
Hired!,producer,Jam Handy,Who was the producer of Hired!?,"['Jam Handy', 'Henry Jamison Handy', 'Jamison Handy']",30,1126
About Time,producer,Daevid Allen,Who was the producer of About Time?,"['Daevid Allen', 'Christopher David Allen']",332,3561
Shine,producer,Luna Sea,Who was the producer of Shine?,"['Luna Sea', 'Lunacy']",56,2942
The Congress,producer,Ken Burns,Who was the producer of The Congress?,"['Ken Burns', 'Kenneth Lauren Burns', 'Kenneth L. Burns', 'Kenneth Burns']",388,49104
De Laatste Dagen van een Eiland,producer,Ernst Winar,Who was the producer of De Laatste Dagen van een Eiland?,['Ernst Winar'],67,118
The Road,director,Darezhan Omirbaev,Who was the director of The Road?,['Darezhan Omirbaev'],107,231
Wedding in White,director,William Fruet,Who was the director of Wedding in White?,['William Fruet'],358,398
The Island of Desire,director,Otis Turner,Who was the director of The Island of Desire?,['Otis Turner'],197,256
Anybody's Woman,director,Dorothy Arzner,Who was the director of Anybody's Woman?,"['Dorothy Arzner', 'Dorothy Emma Arzner']",158,3190
Number Our Days,director,Lynne Littman,Who was the director of Number Our Days?,['Lynne Littman'],272,2013
Only People,director,Branko Bauer,Who was the director of Only People?,['Branko Bauer'],112,294
L'Homme du large,director,Marcel L'Herbier,Who was the director of L'Homme du large?,"[""Marcel L'Herbier"", ""Marcel L' Herbier""]",189,742
By Indian Post,director,John Ford,Who was the director of By Indian Post?,"['John Ford', 'Jack Ford', 'John Martin Feeney']",138,35178
Go Go Amigo,director,Robert McKimson,Who was the director of Go Go Amigo?,"['Robert McKimson', 'Bob McKimson']",235,3225
City of Beautiful Nonsense,director,Adrian Brunel,Who was the director of City of Beautiful Nonsense?,"['Adrian Brunel', 'Adrian Hope Brunel']",87,322
Useless,director,Jia Zhangke,Who was the director of Useless?,['Jia Zhangke'],244,7231
Bhoopathi Ranga,director,Geethapriya,Who was the director of Bhoopathi Ranga?,"['Geethapriya', 'Lakshman Rao Mohite']",164,502
Hunger,director,Peter Foldes,Who was the director of Hunger?,"['Peter Foldes', 'Peter Foldès']",285,255
The Idea,director,Berthold Bartosch,Who was the director of The Idea?,['Berthold Bartosch'],306,286
Iris and the Lieutenant,director,Alf Sjöberg,Who was the director of Iris and the Lieutenant?,['Alf Sjöberg'],149,622
The Mutants,director,Teresa Villaverde,Who was the director of The Mutants?,['Teresa Villaverde'],214,434
Love Letter,director,Kinuyo Tanaka,Who was the director of Love Letter?,['Kinuyo Tanaka'],266,1645
The Sisters,director,Christy Cabanne,Who was the director of The Sisters?,"['Christy Cabanne', 'William Christy Cabanne']",93,891
Washed Out,director,Zrinko Ogresta,Who was the director of Washed Out?,['Zrinko Ogresta'],130,414
A Woman,director,Charlie Chaplin,Who was the director of A Woman?,"['Charlie Chaplin', 'Charles Spencer Chaplin', 'Charles Chaplin', 'Sir Charles Spencer Chaplin']",430,273103
Perfect Understanding,director,Cyril Gardner,Who was the director of Perfect Understanding?,['Cyril Gardner'],300,310
Trail of the Vigilantes,director,Allan Dwan,Who was the director of Trail of the Vigilantes?,['Allan Dwan'],130,1773
Making Angels,director,Charles Beeson,Who was the director of Making Angels?,['Charles Beeson'],356,246
The Clinic,director,David Stevens,Who was the director of The Clinic?,['David Stevens'],233,459
Those Who Love,director,Manning Haynes,Who was the director of Those Who Love?,"['Manning Haynes', 'Horace Manning Haynes']",72,97
What Every Woman Learns,director,Fred Niblo,Who was the director of What Every Woman Learns?,"['Fred Niblo', 'Frederick Liedtke', 'Federico Nobile']",105,938
Stepping Out,director,Charles Reisner,Who was the director of Stepping Out?,['Charles Reisner'],137,544
Chairman George,director,Daniel Cross,Who was the director of Chairman George?,"['Daniel Cross', 'Mila Aung-Thwin']",209,264
Chi,director,Anne Wheeler,Who was the director of Chi?,['Anne Wheeler'],98,813
In Your Hands,director,Peter Del Monte,Who was the director of In Your Hands?,['Peter Del Monte'],127,2217
The Only Thing,director,Jack Conway,Who was the director of The Only Thing?,"['Jack Conway', 'Jack Conway (filmmaker)']",224,1614
Asphalt,director,Kim Ki-young,Who was the director of Asphalt?,"['Kim Ki-young', 'Kim Ki-yeong']",103,2021
Spin the Bottle,director,Joss Whedon,Who was the director of Spin the Bottle?,"['Joss Whedon', 'Joseph Hill Whedon']",428,122100
The White Suit,director,Lazar Ristovski,Who was the director of The White Suit?,['Lazar Ristovski'],164,1730
The Happy Family,director,Maclean Rogers,Who was the director of The Happy Family?,['Maclean Rogers'],59,185
The Challenge,director,Milton Rosmer,Who was the director of The Challenge?,"['Milton Rosmer', 'Luis Trenker', 'Alois Franz Trenker']",264,298
Pilot,director,Francis Lawrence,Who was the director of Pilot?,['Francis Lawrence'],118,19362
Wanted,director,Giorgio Ferroni,Who was the director of Wanted?,['Giorgio Ferroni'],246,329
In the Money,director,William Beaudine,Who was the director of In the Money?,"['William Beaudine', 'William Washington Beaudine']",273,1319
After Hours,director,James Hayman,Who was the director of After Hours?,['James Hayman'],206,12617
The Chief,director,Charles Reisner,Who was the director of The Chief?,['Charles Reisner'],164,544
Kitchen,director,Yim Ho,Who was the director of Kitchen?,['Yim Ho'],198,370
The African Woman,director,Margarethe von Trotta,Who was the director of The African Woman?,"['Margarethe von Trotta', 'Margarethe Von Trotta']",167,2104
I Love You,director,Arnaldo Jabor,Who was the director of I Love You?,['Arnaldo Jabor'],381,383
The Lie,director,Allan Dwan,Who was the director of The Lie?,['Allan Dwan'],124,1773
Foreign Affairs,director,Pete Michels,Who was the director of Foreign Affairs?,['Pete Michels'],130,587
The Secret,director,Robert Enrico,Who was the director of The Secret?,['Robert Enrico'],216,596
The Trust,director,Lon Chaney,Who was the director of The Trust?,"['Lon Chaney', 'Leonidas Frank Chaney', 'Lon Chaney, Sr.', 'The Man of a Thousand Faces']",231,41699
Get Well Soon,director,Jean Becker,Who was the director of Get Well Soon?,['Jean Becker'],197,392
Like You Know It All,director,Hong Sang-soo,Who was the director of Like You Know It All?,"['Hong Sang-soo', 'Hong Sang Soo']",449,11729
The Creator,director,Albert Dupontel,Who was the director of The Creator?,['Albert Dupontel'],304,4135
The Only Woman,director,Sidney Olcott,Who was the director of The Only Woman?,['Sidney Olcott'],96,545
Allow Me,director,Mario Bonnard,Who was the director of Allow Me?,['Mario Bonnard'],146,284
Thicker than Water,director,The Malloys,Who was the director of Thicker than Water?,"['Jack Johnson', 'Jack Hody Johnson', 'The Malloys']",463,819
About Love,director,Zhang Yibai,Who was the director of About Love?,"['Zhang Yibai', 'Zhang Xiaoling']",352,474
The Gamble,director,Tom Ricketts,Who was the director of The Gamble?,['Tom Ricketts'],61,979
The Suspect,director,Ringo Lam,Who was the director of The Suspect?,"['Ringo Lam', 'Ringo Lam Ling-Tung']",240,2664
Sukeban,director,Noribumi Suzuki,Who was the director of Sukeban?,['Noribumi Suzuki'],294,596
Breaking News,director,Nagathihalli Chandrashekhar,Who was the director of Breaking News?,['Nagathihalli Chandrashekhar'],409,1890
The Bells and Whistles,director,Craig Zisk,Who was the director of The Bells and Whistles?,['Craig Zisk'],121,1207
The Final Test,director,Anthony Asquith,Who was the director of The Final Test?,"['Anthony Asquith', 'Hon. Anthony Asquith', 'Anthony William Lowell Asquith']",274,2520
The Medium,director,Gian Carlo Menotti,Who was the director of The Medium?,['Gian Carlo Menotti'],233,12324
Pirates of Malaysia,director,Umberto Lenzi,Who was the director of Pirates of Malaysia?,['Umberto Lenzi'],378,2579
Avatar,director,Carmine Gallone,Who was the director of Avatar?,"['Carmine Gallone', 'Carmelo Gallone']",171,454
Hotel Splendide,director,Michael Powell,Who was the director of Hotel Splendide?,"['Michael Powell', 'Michael Latham Powell', 'Powell']",152,10431
The Dream,director,Pieter Verhoeff,Who was the director of The Dream?,['Pieter Verhoeff'],100,144
The System,director,Lewis Seiler,Who was the director of The System?,['Lewis Seiler'],139,438
The Sale,director,Hossein Shahabi,Who was the director of The Sale?,['Hossein Shahabi'],108,138
The Black Book,director,Spencer Gordon Bennet,Who was the director of The Black Book?,['Spencer Gordon Bennet'],129,525
Into the Deep,director,Ron Underwood,Who was the director of Into the Deep?,"['Ron Underwood', 'Ronald Brian Underwood']",388,4367
Audace colpo dei soliti ignoti,director,Nanni Loy,Who was the director of Audace colpo dei soliti ignoti?,"['Nanni Loy', 'Giovanni Loi']",360,457
Revenge,director,Edwin Carewe,Who was the director of Revenge?,['Edwin Carewe'],135,553
Monte Carlo Madness,director,Hanns Schwarz,Who was the director of Monte Carlo Madness?,['Hanns Schwarz'],237,299
The inn,director,Jerzy Kawalerowicz,Who was the director of The inn?,"['Jerzy Kawalerowicz', 'Jerzy Franciszek Kawalerowicz']",317,989
The Heart,director,Kon Ichikawa,Who was the director of The Heart?,['Kon Ichikawa'],252,2632
No Good Deed,director,Lawrence Trilling,Who was the director of No Good Deed?,['Lawrence Trilling'],107,1820
Still Life,director,Sohrab Shahid-Saless,Who was the director of Still Life?,"['Sohrab Shahid-Saless', 'Sohrab Shaheed Salles', 'Sohrab Shadid Saless']",235,551
San Francisco,director,Anthony Stern,Who was the director of San Francisco?,['Anthony Stern'],266,170
Intruder,director,Vicente Aranda,Who was the director of Intruder?,"['Vicente Aranda', 'Vicente Aranda Ezquerra']",168,632
Homecoming,director,Joe May,Who was the director of Homecoming?,['Joe May'],170,699
Cool It,director,Ondi Timoner,Who was the director of Cool It?,['Ondi Timoner'],433,974
Great Day,director,Lance Comfort,Who was the director of Great Day?,['Lance Comfort'],218,483
Senior Year,director,Jerrold Tarog,Who was the director of Senior Year?,"['Jerrold Tarog', 'Jerrold Viacrucis Tarog']",71,2638
Escape,director,Basil Dean,Who was the director of Escape?,"['Basil Dean', 'Basil Herbert Dean']",198,802
Little Man,director,Nicole Conn,Who was the director of Little Man?,['Nicole Conn'],229,1863
Choices,director,David Lowell Rich,Who was the director of Choices?,['David Lowell Rich'],217,557
Silver,director,Takashi Miike,Who was the director of Silver?,['Takashi Miike'],377,36436
His Way,director,Douglas McGrath,Who was the director of His Way?,"['Douglas McGrath', 'Douglas Geoffrey McGrath']",283,1136
Boy Meets Dog,director,Walter Lantz,Who was the director of Boy Meets Dog?,"['Walter Lantz', 'Walter Benjamin Lantz']",444,6020
The Bench,director,Per Fly,Who was the director of The Bench?,"['Per Fly', 'Per Fly Plejdrup']",293,419
Safety First,director,Fred Paul,Who was the director of Safety First?,['Fred Paul'],284,197
Victoria,director,Anna Karina,Who was the director of Victoria?,"['Anna Karina', 'Hanne Bayer', 'Hanne Karin Bayer', 'Hanne Karen Blarke Bayer', 'Hanne Karin Blarke Bayer']",316,12650
Marina's Destiny,director,Viktor Ivchenko,Who was the director of Marina's Destiny?,"['Viktor Ivchenko', 'Viktor Illarionovich Ivchenko']",128,89
Impulse,director,Cy Endfield,Who was the director of Impulse?,"['Cy Endfield', 'Cyril Raker Endfield']",284,2360
Suddenly,director,Diego Lerman,Who was the director of Suddenly?,['Diego Lerman'],214,111
Winner Takes All,director,Clifton Ko,Who was the director of Winner Takes All?,"['Clifton Ko', 'Gao Zhisen']",324,408
Out of Control,director,Dominic Savage,Who was the director of Out of Control?,['Dominic Savage'],299,1831
Green Tea,director,Zhang Yuan,Who was the director of Green Tea?,"['Zhang Yuan', 'Yuan Zhang']",300,659
Victory,director,Vsevolod Pudovkin,Who was the director of Victory?,"['Mikhail Doller', 'Mikhail Ivanovich Doller', 'Vsevolod Pudovkin', 'Vsevolod Illarionovich Pudovkin', 'Wsewolod Illarionowitsch Pudowkin']",64,1976
Sunset Limousine,director,Terry Hughes,Who was the director of Sunset Limousine?,['Terry Hughes'],209,1110
Me First,director,Fernando Ayala,Who was the director of Me First?,['Fernando Ayala'],78,194
Sunrise,director,Raymond Longford,Who was the director of Sunrise?,"['Raymond Longford', 'John Walter Longford']",204,203
Masks,director,Claude Chabrol,Who was the director of Masks?,"['Claude Chabrol', 'Claude Henri Jean Chabrol']",287,8711
Frozen,director,Derek Kwok,Who was the director of Frozen?,"['Derek Kwok', 'Derek Kwok Chi-Kin', 'Chi-kin Kwok']",335,576
The Trial,director,Georg Wilhelm Pabst,Who was the director of The Trial?,"['Georg Wilhelm Pabst', 'George Willhelm Pabst']",276,2716
Lakshyabhed,director,Raj Mukherji,Who was the director of Lakshyabhed?,['Raj Mukherji'],138,515
H,director,Darrell Wasyk,Who was the director of H?,['Darrell Wasyk'],212,129
Tomorrow,director,Francesca Archibugi,Who was the director of Tomorrow?,['Francesca Archibugi'],194,316
Hum Ek Hain,director,Syed Noor,Who was the director of Hum Ek Hain?,"['Syed Noor', 'Syed Ghulam Mohyuddin Noor']",159,1560
The Fool,director,Christine Edzard,Who was the director of The Fool?,['Christine Edzard'],280,236
The Last Producer,director,Burt Reynolds,Who was the director of The Last Producer?,"['Burt Reynolds', 'Burton Leon Reynolds, Jr.', 'Burton Leon Reynolds', 'Burton Milo Reynolds Jr.']",454,169193
Chicken Party,director,Tate Taylor,Who was the director of Chicken Party?,['Tate Taylor'],481,13233
Pilot,director,Robby Benson,Who was the director of Pilot?,"['Robby Benson', 'Robin David Segal']",16,27678
Sarah,director,Yoram Gross,Who was the director of Sarah?,"['Yoram Gross', 'Yoram Jerzy Gross', 'Yoram J Gross', 'Yoram J. Gross']",433,63388
La renzoni,director,Maurits Binger,Who was the director of La renzoni?,"['Maurits Binger', 'Maurits H. Binger']",96,125
Safe,director,Michael Zinberg,Who was the director of Safe?,"['Michael Zinberg', 'Mike Zinberg', 'Michael Allan Zinberg']",437,624
The Cardinal,director,Sinclair Hill,Who was the director of The Cardinal?,['Sinclair Hill'],145,153
Second Thoughts,director,Lawrence Turman,Who was the director of Second Thoughts?,['Lawrence Turman'],421,2611
The Spoilers,director,Bartlett Cormack,Who was the director of The Spoilers?,"['Edwin Carewe', 'Bartlett Cormack', 'Edward Bartlett Cormack']",308,294
Thrilling,director,Ettore Scola,Who was the director of Thrilling?,"['Carlo Lizzani', 'Ettore Scola', 'Gian Luigi Polidoro']",305,2260
Heritage,director,Charles Chauvel,Who was the director of Heritage?,"['Charles Chauvel', 'Charles Edward Chauvel']",148,700
Messiah,director,William Klein,Who was the director of Messiah?,['William Klein'],98,2241
One Life,director,Alexandre Astruc,Who was the director of One Life?,['Alexandre Astruc'],234,757
Les Palmes de M. Schutz,director,Claude Pinoteau,Who was the director of Les Palmes de M. Schutz?,['Claude Pinoteau'],276,395
Flame,director,Yu Hyun-mok,Who was the director of Flame?,"['Yu Hyun-mok', 'Yu Hyeon-mok']",117,308
The Doll,director,Ernst Lubitsch,Who was the director of The Doll?,['Ernst Lubitsch'],418,7437
Face to Face,director,Michael Rymer,Who was the director of Face to Face?,['Michael Rymer'],368,1617
Out to Win,director,Malcolm Ingram,Who was the director of Out to Win?,['Malcolm Ingram'],126,524
Chicago,director,Jesse Bochco,Who was the director of Chicago?,"['Jesse Bochco', 'Jesse John Bochco']",351,2085
Temple Tower,director,Donald Gallaher,Who was the director of Temple Tower?,['Donald Gallaher'],170,169
I Love You,director,Zhang Yuan,Who was the director of I Love You?,"['Zhang Yuan', 'Yuan Zhang']",343,659
The Clairvoyant,director,Maurice Elvey,Who was the director of The Clairvoyant?,['Maurice Elvey'],361,526
Face to Face,director,Branko Bauer,Who was the director of Face to Face?,['Branko Bauer'],160,294
Angel on the Right,director,Jamshed Usmonov,Who was the director of Angel on the Right?,"['Jamshed Usmonov', 'Ǵamšed Usmonov']",156,125
Rails,director,Mario Camerini,Who was the director of Rails?,['Mario Camerini'],135,592
Homework,director,Jaime Humberto Hermosillo,Who was the director of Homework?,"['Jaime Humberto Hermosillo', 'Jaime Humberto Hermosillo Delgado']",334,269
The Big City,director,Tod Browning,Who was the director of The Big City?,"['Tod Browning', 'Charles Albert Browning']",273,11881
Army,director,Keisuke Kinoshita,Who was the director of Army?,['Keisuke Kinoshita'],304,1415
Nice People,director,William Churchill deMille,Who was the director of Nice People?,"['William Churchill deMille', 'William Churchill de Mille', 'William C. De Mille', 'William deMille']",121,2167
The Way We Are,director,Ann Hui,Who was the director of The Way We Are?,"['Ann Hui', 'Xu Anhua']",426,3180
Welcome Home,director,James Cruze,Who was the director of Welcome Home?,['James Cruze'],118,891
The Mountain,director,Markus Imhoof,Who was the director of The Mountain?,['Markus Imhoof'],178,243
Out of This World,director,Hal Walker,Who was the director of Out of This World?,['Hal Walker'],363,218
The Other Person,director,Maurits Binger,Who was the director of The Other Person?,"['Maurits Binger', 'Maurits H. Binger']",100,125
Supercock,director,Gus Trikonis,Who was the director of Supercock?,['Gus Trikonis'],289,7563
Here,director,Zrinko Ogresta,Who was the director of Here?,['Zrinko Ogresta'],113,414
Encounter,director,Suman Mukhopadhyay,Who was the director of Encounter?,['Suman Mukhopadhyay'],125,1145
The Departure,director,Jerzy Skolimowski,Who was the director of The Departure?,['Jerzy Skolimowski'],355,3406
The White Land,director,Hugo del Carril,Who was the director of The White Land?,"['Hugo del Carril', 'Pierre Bruno Hugo Fontana']",202,531
The Cross,director,Matthew Crouch,Who was the director of The Cross?,['Matthew Crouch'],236,2962
Father,director,Wang Shuo,Who was the director of Father?,['Wang Shuo'],267,662
Homecoming,director,Todd Holland,Who was the director of Homecoming?,['Todd Holland'],68,1769
Face,director,Junji Sakamoto,Who was the director of Face?,['Junji Sakamoto'],321,339
Island of Doomed Men,director,Charles Barton,Who was the director of Island of Doomed Men?,['Charles Barton'],308,1101
No Pressure,director,Dougal Wilson,Who was the director of No Pressure?,['Dougal Wilson'],398,314
Control,director,Kenneth Bi,Who was the director of Control?,['Kenneth Bi'],269,229
The Rehearsal,director,Jules Dassin,Who was the director of The Rehearsal?,"['Jules Dassin', 'Julius Dassin']",298,6819
The Heroes,director,Wu Ma,Who was the director of The Heroes?,"['Wu Ma', 'Ng Ma']",178,1855
Adam,director,Peter Lord,Who was the director of Adam?,['Peter Lord'],483,3621
The Circle,director,Frank Borzage,Who was the director of The Circle?,['Frank Borzage'],268,2460
Berlin Calling,director,Nigel Dick,Who was the director of Berlin Calling?,['Nigel Dick'],139,1826
The Treasure,director,Georg Wilhelm Pabst,Who was the director of The Treasure?,"['Georg Wilhelm Pabst', 'George Willhelm Pabst']",211,2716
The Collective,director,Kelly Overton,Who was the director of The Collective?,['Kelly Overton'],344,5899
"Thank You, Madame",director,Carmine Gallone,"Who was the director of Thank You, Madame?","['Carmine Gallone', 'Carmelo Gallone']",85,454
The Calendar,director,Arthur Crabtree,Who was the director of The Calendar?,['Arthur Crabtree'],326,424
Freedom,director,Scott Hicks,Who was the director of Freedom?,"['Scott Hicks', 'Robert Scott Hicks']",261,1749
The Castle,director,Rudolf Noelte,Who was the director of The Castle?,['Rudolf Noelte'],365,100
Pilot,director,Chris Koch,Who was the director of Pilot?,['Chris Koch'],140,864
The Commissioner,director,George Sluizer,Who was the director of The Commissioner?,['George Sluizer'],381,2316
All the Way Up,director,James MacTaggart,Who was the director of All the Way Up?,['James MacTaggart'],90,201
Will to Live,director,Kaneto Shindō,Who was the director of Will to Live?,"['Kaneto Shindō', 'Kaneto Shindo', 'Shindō Kaneto', 'Shindo Kaneto', 'Kaneto Shindou']",152,4081
Common Ground,director,William Churchill deMille,Who was the director of Common Ground?,"['William Churchill deMille', 'William Churchill de Mille', 'William C. De Mille', 'William deMille']",112,2167
The Child,director,Benjamin Christensen,Who was the director of The Child?,['Benjamin Christensen'],100,1943
Zonnetje,director,Maurits Binger,Who was the director of Zonnetje?,"['Maurits Binger', 'Maurits H. Binger']",58,125
The Mighty,director,John Cromwell,Who was the director of The Mighty?,['John Cromwell'],131,5677
Festival,director,Im Kwon-taek,Who was the director of Festival?,['Im Kwon-taek'],228,1735
Sara,director,Herman Yau,Who was the director of Sara?,"['Herman Yau', 'Herman Yau Lai-to']",444,1074
Days of Tomorrow,director,Jeffrey Lau,Who was the director of Days of Tomorrow?,"['Jeffrey Lau', 'Liu Zhenwei', 'Lau Chun-Wai', 'Jeffrey Lau Chun-Wai']",303,1169
Arizona,director,Albert Parker,Who was the director of Arizona?,"['Douglas Fairbanks', 'Douglas Fairbanks, Sr.', 'Douglas Elton Thomas Ullman', 'Douglas Ullman', 'Doug Fairbanks', 'Albert Parker']",193,319
Home,director,Maurice Elvey,Who was the director of Home?,['Maurice Elvey'],100,526
Eggs,director,Bent Hamer,Who was the director of Eggs?,['Bent Hamer'],182,495
Fortuna,director,Menahem Golan,Who was the director of Fortuna?,"['Menahem Golan', 'Menachem Golan']",134,4896
The Moor,director,Simon Cellan Jones,Who was the director of The Moor?,"['Simon Cellan Jones', 'Simon Cellan-Jones']",372,2444
Alarm,director,Alice O'Fredericks,Who was the director of Alarm?,"['Lau Lauritzen', ""Alice O'Fredericks""]",111,194
College,director,Franco Castellano,Who was the director of College?,"['Franco Castellano', 'Giuseppe Moccia']",90,173
The Boys,director,Mikko Niskanen,Who was the director of The Boys?,"['Mikko Niskanen', 'Mikko Johannes Niskanen']",148,155
Distant Trumpet,director,Terence Fisher,Who was the director of Distant Trumpet?,"['Terence Fisher', 'Terence Roland Fisher']",128,5577
Practical Jokers,director,George Sidney,Who was the director of Practical Jokers?,['George Sidney'],92,2504
The Call of the North,director,Joseph Henabery,Who was the director of The Call of the North?,['Joseph Henabery'],128,412
The Scientific Cardplayer,director,Luigi Comencini,Who was the director of The Scientific Cardplayer?,['Luigi Comencini'],437,846
The Best Man,director,Pupi Avati,Who was the director of The Best Man?,"['Pupi Avati', 'Giuseppe Avati']",178,1460
Molon Labe,director,Holly Dale,Who was the director of Molon Labe?,['Holly Dale'],304,851
Sugar,director,Sergio Martino,Who was the director of Sugar?,"['Sergio Martino', 'Martin Dolman', 'Christian Plummer']",216,2147
Innocent,director,Maurice Elvey,Who was the director of Innocent?,['Maurice Elvey'],181,526
Top of the World,director,Sidney J. Furie,Who was the director of Top of the World?,"['Sidney J. Furie', 'Sidney Joseph Furie']",462,3030
The Tree,director,Todd Field,Who was the director of The Tree?,"['Todd Field', 'William Todd Field']",82,10431
Live and Learn,director,Carl Franklin,Who was the director of Live and Learn?,"['Carl Franklin', 'Carl Michael Franklin']",258,3528
Big Time,director,Kenneth Hawks,Who was the director of Big Time?,"['Kenneth Hawks', 'Kenneth Neil Hawks']",117,1772
California,director,Michele Lupo,Who was the director of California?,['Michele Lupo'],429,307
Driven,director,Maurice Elvey,Who was the director of Driven?,['Maurice Elvey'],76,526
Home Base,director,Colin Trevorrow,Who was the director of Home Base?,['Colin Trevorrow'],301,11955
Remains to Be Seen,director,Don Weis,Who was the director of Remains to Be Seen?,['Don Weis'],280,903
Rudeness,director,Marino Girolami,Who was the director of Rudeness?,['Marino Girolami'],124,322
Mel,director,Joey Travolta,Who was the director of Mel?,"['Joey Travolta', 'Joseph Allen Travolta']",185,15888
In the City,director,Cesc Gay,Who was the director of In the City?,"['Cesc Gay', 'Francesc Gay i Puig', 'Francesc Gay Puig']",154,664
Ormai è fatta!,director,Enzo Monteleone,Who was the director of Ormai è fatta!?,['Enzo Monteleone'],119,149
Skull Heads,director,Charles Band,Who was the director of Skull Heads?,"['Charles Band', 'Charles Robert Band']",293,6638
The Little Ones,director,Jim O'Connolly,Who was the director of The Little Ones?,"[""Jim O'Connolly""]",172,247
Ah Ying,director,Allen Fong,Who was the director of Ah Ying?,"['Allen Fong', 'Allen Fong Yuk-ping']",223,191
Friends,director,Lev Arnshtam,Who was the director of Friends?,"['Lev Arnshtam', 'Lev Oskarovich Arnshtam']",134,130
Never Forget,director,Joseph Sargent,Who was the director of Never Forget?,"['Joseph Sargent', 'Giuseppe Danielle Sorgente']",382,3188
Il bandito dagli occhi azzurri,director,Alfredo Giannetti,Who was the director of Il bandito dagli occhi azzurri?,['Alfredo Giannetti'],307,191
Sons,director,Zhang Yuan,Who was the director of Sons?,"['Zhang Yuan', 'Yuan Zhang']",104,659
Son contento,director,Maurizio Ponzi,Who was the director of Son contento?,['Maurizio Ponzi'],73,116
The Convicted,director,Rudolf Meinert,Who was the director of The Convicted?,['Rudolf Meinert'],117,140
Taxi at Midnight,director,Harry Piel,Who was the director of Taxi at Midnight?,"['Harry Piel', 'Heinrich Piel']",80,259
1870,director,Alfredo Giannetti,Who was the director of 1870?,['Alfredo Giannetti'],325,191
The Other,director,Youssef Chahine,Who was the director of The Other?,['Youssef Chahine'],206,4349
Pilot,director,David Slade,Who was the director of Pilot?,"['David Slade', 'David Aldrin Slade']",140,6686
Brother of Sleep,director,Joseph Vilsmaier,Who was the director of Brother of Sleep?,"['Joseph Vilsmaier', 'Josef Vilsmaier']",351,796
The Old Lady,director,Amleto Palermi,Who was the director of The Old Lady?,['Amleto Palermi'],174,103
The Gorilla,director,Bryan Foy,Who was the director of The Gorilla?,['Bryan Foy'],180,841
Episode,director,Walter Reisch,Who was the director of Episode?,['Walter Reisch'],212,525
Adventure,director,Victor Fleming,Who was the director of Adventure?,"['Victor Fleming', 'Victor Lonzo Fleming']",164,9372
Going Away,director,Nicole Garcia,Who was the director of Going Away?,['Nicole Garcia'],256,2594
The Knitting,director,Yoon Eun-hye,Who was the director of The Knitting?,['Yoon Eun-hye'],178,40251
Freedom,director,Liz Friedlander,Who was the director of Freedom?,['Liz Friedlander'],63,1622
The First Time,director,Frank Tashlin,Who was the director of The First Time?,"['Frank Tashlin', 'Francis Fredrick von Taschlein', 'Tish Tash']",233,2958
A Boy... a Girl,director,John Derek,Who was the director of A Boy... a Girl?,['John Derek'],190,42965
A,director,Jan Lenica,Who was the director of A?,['Jan Lenica'],143,468
La liceale al mare con l'amica di papà,director,Marino Girolami,Who was the director of La liceale al mare con l'amica di papà?,['Marino Girolami'],309,322
Day Trip,director,Park Chan-wook,Who was the director of Day Trip?,"['Park Chan-wook', 'Chan-wook Park', 'Park Chan-uk']",206,47075
Five,director,Abbas Kiarostami,Who was the director of Five?,['Abbas Kiarostami'],412,15543
Love Letter,director,Tatsumi Kumashiro,Who was the director of Love Letter?,['Tatsumi Kumashiro'],172,613
The Sixth,director,Samvel Gasparov,Who was the director of The Sixth?,"['Samvel Gasparov', 'Samvel Vladimirovich Gasparov', 'Samuel Gasparov']",360,227
Private Life,director,Yuli Raizman,Who was the director of Private Life?,"['Yuli Raizman', 'Yuli Yakovlevich Raizman']",235,284
Cousin Bobby,director,Jonathan Demme,Who was the director of Cousin Bobby?,"['Jonathan Demme', 'Robert Jonathan Demme']",175,31150
Thérèse Desqueyroux,director,Georges Franju,Who was the director of Thérèse Desqueyroux?,['Georges Franju'],430,2374
Balance,director,Lyudmil Kirkov,Who was the director of Balance?,['Lyudmil Kirkov'],75,147
The Pioneers,director,Raymond Longford,Who was the director of The Pioneers?,"['Raymond Longford', 'John Walter Longford']",119,203
New Frontier,director,George Sherman,Who was the director of New Frontier?,['George Sherman'],475,916
You for Me,director,Don Weis,Who was the director of You for Me?,['Don Weis'],193,903
Fashions in Love,director,Victor Schertzinger,Who was the director of Fashions in Love?,"['Victor Schertzinger', 'Víctor L. Schertzinger']",115,954
Wings of Destiny,director,Rupert Kathner,Who was the director of Wings of Destiny?,['Rupert Kathner'],146,77
Nelson,director,Walter Summers,Who was the director of Nelson?,"['Walter Summers', 'Walter George Thomas Summers']",151,208
Le tue mani sul mio corpo,director,Brunello Rondi,Who was the director of Le tue mani sul mio corpo?,['Brunello Rondi'],181,293
Faith,director,James Kirkwood,Who was the director of Faith?,"['James Kirkwood', 'James Kirkwood, Sr.']",79,666
