subj,prop,obj,question,answers_list
John Barnes,occupation,monk,What is John Barnes's occupation?,"['monk', 'monks']"
Mehmet Gürkan Öztürk,sport,association football,What sport does Mehmet Gürkan Öztürk play?,"['association football', 'football', 'soccer']"
Breed,author,Jim Starlin,Who is the author of Breed?,['Jim Starlin']
Edwin N. Hubbell,occupation,politician,What is Edwin N. Hubbell's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Doug Gwosdz,place of birth,Houston,In what city was Doug Gwosdz born?,"['Houston', 'Houston, Texas', 'Space City', 'H-Town', 'City of Houston', 'USHOU', 'Houston, TX']"
Isobel Pravda,occupation,actor,What is Isobel Pravda's occupation?,"['actor', 'actress', 'actors', 'actresses']"
The Runner,director,Amir Naderi,Who was the director of The Runner?,['Amir Naderi']
"Richard Somerset, 2nd Baron Raglan",father,"FitzRoy Somerset, 1st Baron Raglan","Who is the father of Richard Somerset, 2nd Baron Raglan?","['FitzRoy Somerset, 1st Baron Raglan', 'FitzRoy Somerset', 'Fitzroy Somerset, Lord Raglan']"
Chitra Bahadur K.C.,occupation,politician,What is Chitra Bahadur K.C.'s occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Secrets,director,Frank Borzage,Who was the director of Secrets?,['Frank Borzage']
Roger Gaudry,place of birth,Quebec City,In what city was Roger Gaudry born?,"['Quebec City', 'Quebec', 'Ville de Québec', 'Québec', 'City of Québec', 'City of Quebec', 'Ville de Quebec', '3rd Summit of the Americas']"
Matrix,author,Robert Perry,Who is the author of Matrix?,"['Mike Tucker', 'Robert Perry']"
The Way We Are,director,Ann Hui,Who was the director of The Way We Are?,"['Ann Hui', 'Xu Anhua']"
1995 Cook Islands Round Cup,sport,association football,What sport does 1995 Cook Islands Round Cup play?,"['association football', 'football', 'soccer']"
Zonnetje,director,Maurits Binger,Who was the director of Zonnetje?,"['Maurits Binger', 'Maurits H. Binger']"
Wayne G. Hammond,place of birth,Cleveland,In what city was Wayne G. Hammond born?,"['Cleveland', 'Cleveland, Ohio', 'Cleveland, OH']"
Basse-Kotto Prefecture,capital,Mobaye,What is the capital of Basse-Kotto Prefecture?,['Mobaye']
Festival,director,Im Kwon-taek,Who was the director of Festival?,['Im Kwon-taek']
The Message,author,Isaac Asimov,Who is the author of The Message?,"['Isaac Asimov', 'Isaak Osimov', 'Paul French', 'Asimov', 'Isaak Ozimov']"
Romance,author,Ford Madox Ford,Who is the author of Romance?,"['Ford Madox Ford', 'Ford Hermann Hueffer', 'Ford Madox Hueffer', 'Joseph Leopold Ford Hermann Madox Hueffer', 'Joseph Conrad', 'Jozef Teodor Konrad Korzeniowski']"
The Bad One,director,George Fitzmaurice,Who was the director of The Bad One?,['George Fitzmaurice']
William Peters,religion,Anglicanism,What is the religion of William Peters?,"['Anglicanism', 'Anglicanism, Anglican Church']"
Benjamin Speed,genre,indie pop,What genre is Benjamin Speed?,"['indie pop', 'indie pop music', 'indie-pop', 'indiepop']"
In My Life,screenwriter,Bille August,Who was the screenwriter for In My Life?,['Bille August']
Beau Soleil,screenwriter,Jeremy Doner,Who was the screenwriter for Beau Soleil?,['Jeremy Doner']
Murderers,screenwriter,Patrick Grandperret,Who was the screenwriter for Murderers?,['Patrick Grandperret']
The Great Moment,screenwriter,Preston Sturges,Who was the screenwriter for The Great Moment?,"['Preston Sturges', 'Edmund Preston Biden']"
Ancestor,author,Scott Sigler,Who is the author of Ancestor?,['Scott Sigler']
Naziah Ali,place of birth,Fiji,In what city was Naziah Ali born?,"['Fiji', 'Republic of Fiji', 'fj', '🇫🇯', 'FIJ', 'Republic of the Fiji Islands']"
The High Life,screenwriter,Julien Duvivier,Who was the screenwriter for The High Life?,['Julien Duvivier']
Urban Feel,screenwriter,Jonathan Sagall,Who was the screenwriter for Urban Feel?,['Jonathan Sagall']
Breaking News,director,Nagathihalli Chandrashekhar,Who was the director of Breaking News?,['Nagathihalli Chandrashekhar']
Ito,sport,association football,What sport does Ito play?,"['association football', 'football', 'soccer']"
Rice,producer,Shin Sang-ok,Who was the producer of Rice?,"['Shin Sang-ok', 'Shin Tae-seo', 'Simon Sheen']"
Roland Wieser,place of birth,Zschopau,In what city was Roland Wieser born?,['Zschopau']
Lima,country,United States of America,In what country is Lima?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Thrilling,director,Ettore Scola,Who was the director of Thrilling?,"['Carlo Lizzani', 'Ettore Scola', 'Gian Luigi Polidoro']"
One Night,screenwriter,Niki Karimi,Who was the screenwriter for One Night?,['Niki Karimi']
Never Forget,director,Joseph Sargent,Who was the director of Never Forget?,"['Joseph Sargent', 'Giuseppe Danielle Sorgente']"
Dag Stokke,genre,hard rock,What genre is Dag Stokke?,['hard rock']
Matthew J. Ryan,place of birth,Philadelphia,In what city was Matthew J. Ryan born?,"['Philadelphia', 'Philly', 'City of Brotherly Love', 'Cradle of Liberty', 'Philadelphia, Pennsylvania', 'City of Philadelphia', 'Philadelphia, PA']"
Billy McGinty,place of birth,Glasgow,In what city was Billy McGinty born?,"['Glasgow', 'Glasgow, Scotland']"
Positions,author,Jacques Derrida,Who is the author of Positions?,"['Jacques Derrida', 'Jackie Derrida', 'Jackie Elie Derrida', 'Jackie Élie Derrida', 'J. Derrida']"
William Quillian,sport,tennis,What sport does William Quillian play?,"['tennis', 'lawn tennis', 'lawntennis']"
Say It Again,director,Gregory La Cava,Who was the director of Say It Again?,"['Gregory La Cava', 'George Gregory LaCava', 'George Lacava', 'Gregory Lacava']"
Out of Control,director,Dominic Savage,Who was the director of Out of Control?,['Dominic Savage']
Out of This World,composer,Cole Porter,Who was the composer of Out of This World?,"['Cole Porter', 'Cole Albert Porter']"
Get You,composer,RedOne,Who was the composer of Get You?,"['RedOne', 'Nadir Khayat']"
Shadow,author,Kristine Kathryn Rusch,Who is the author of Shadow?,"['Dean Wesley Smith', 'Kristine Kathryn Rusch']"
Chapman,country,Australia,In what country is Chapman?,"['Australia', 'Commonwealth of Australia', 'AU', 'AUS', 'au', 'British Colony of Australia', '🇦🇺', 'Straya', 'Aussieland']"
John Heriot's Wife,producer,Maurits Binger,Who was the producer of John Heriot's Wife?,"['Maurits Binger', 'Maurits H. Binger']"
Israel Horowitz,place of birth,New York City,In what city was Israel Horowitz born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']"
Vanity,director,Adrian Brunel,Who was the director of Vanity?,"['Adrian Brunel', 'Adrian Hope Brunel']"
The inn,screenwriter,Jerzy Kawalerowicz,Who was the screenwriter for The inn?,"['Jerzy Kawalerowicz', 'Jerzy Franciszek Kawalerowicz', 'Julian Stryjkowski']"
Eduardo Gudiño Kieffer,place of birth,Esperanza,In what city was Eduardo Gudiño Kieffer born?,"['Esperanza', 'Esperanza, Santa Fe']"
Nikolsk,capital of,Nikolsky District,What is Nikolsk the capital of?,"['Nikolsky District', 'Nikolsky District, Vologda Oblast']"
Olav T. Laake,occupation,politician,What is Olav T. Laake's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Romário Baldé,sport,association football,What sport does Romário Baldé play?,"['association football', 'football', 'soccer']"
Clemente Isnard,religion,Catholic Church,What is the religion of Clemente Isnard?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
Lakshyabhed,director,Raj Mukherji,Who was the director of Lakshyabhed?,['Raj Mukherji']
New Year,composer,Michael Tippett,Who was the composer of New Year?,"['Michael Tippett', 'Sir Michael Kemp Tippett']"
Eshkevar-e Sofla Rural District,country,Iran,In what country is Eshkevar-e Sofla Rural District?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Success,author,Jonathan Cape,Who is the author of Success?,['Jonathan Cape']
Frifot,genre,traditional music,What genre is Frifot?,"['traditional music', 'traditional folk music', 'popular melody', 'folk music', 'music traditions', 'musical folklore']"
Miss You,composer,Harry Tobias,Who was the composer of Miss You?,"['Charles Tobias', 'Harry Tobias']"
The Man in Half Moon Street,director,Ralph Murphy,Who was the director of The Man in Half Moon Street?,['Ralph Murphy']
Genre,screenwriter,Don Hertzfeldt,Who was the screenwriter for Genre?,"['Don Hertzfeldt', 'Donald Hertzfeldt']"
The Program,author,Gregg Hurwitz,Who is the author of The Program?,['Gregg Hurwitz']
The Missing Star,director,Gianni Amelio,Who was the director of The Missing Star?,['Gianni Amelio']
Ally,author,Karen Traviss,Who is the author of Ally?,['Karen Traviss']
Reunion,author,John Cheever,Who is the author of Reunion?,"['John Cheever', 'John William Cheever']"
The inn,director,Jerzy Kawalerowicz,Who was the director of The inn?,"['Jerzy Kawalerowicz', 'Jerzy Franciszek Kawalerowicz']"
Nikola Eterović,religion,Catholic Church,What is the religion of Nikola Eterović?,"['Catholic Church', 'Roman Catholic Church', 'Church', 'Roman Apostolic Catholic Church']"
The List,producer,Beth Murphy,Who was the producer of The List?,['Beth Murphy']
Landing in Luck,author,William Faulkner,Who is the author of Landing in Luck?,"['William Faulkner', 'William Cuthbert Faulkner', 'William Falkner', 'William Cuthbert Falkner']"
Roper,genre,pop punk,What genre is Roper?,"['pop punk', 'punk-pop', 'pop-punk']"
Glass,genre,documentary film,What genre is Glass?,"['documentary film', 'documentary movie', 'doc', 'film documentary', 'motion picture documentary', 'documentary', 'factual film']"
The City,author,Frans Masereel,Who is the author of The City?,"['Frans Masereel', 'Mai-sui-lai-le', 'Frants Maserel', 'Frans Masareel', 'Fa-lang-shih Mai-sui-lai-le', 'Masereel', 'Frans Maserell']"
Concern,father,Broad Brush,Who is the father of Concern?,['Broad Brush']
Savage,genre,action game,What genre is Savage?,"['action game', 'action video game']"
"Yvonne, Prinzessin von Burgund",composer,Boris Blacher,"Who was the composer of Yvonne, Prinzessin von Burgund?",['Boris Blacher']
Kristian Outinen,place of birth,Copenhagen,In what city was Kristian Outinen born?,"['Copenhagen', 'København', 'CPH', 'Köpenhamn', 'Kööpenhamina', 'Kopenhagen', 'Kobenhavn', 'Köbenhavn', 'Hafnia', 'Hafn', 'Havn']"
Pope Villa,country,United States of America,In what country is Pope Villa?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Bob Cremins,place of birth,Pelham Manor,In what city was Bob Cremins born?,"['Pelham Manor', 'Pelham Manor, New York']"
Public Opinion,director,Frank Reicher,Who was the director of Public Opinion?,['Frank Reicher']
Alan Bjerga,occupation,journalist,What is Alan Bjerga's occupation?,"['journalist', 'journo', 'journalists']"
O dia das calças roladas,author,Germano Almeida,Who is the author of O dia das calças roladas?,"['Germano Almeida', 'Germano de Almeida']"
Rick Ley,sport,ice hockey,What sport does Rick Ley play?,['ice hockey']
Storm,author,George R. Stewart,Who is the author of Storm?,"['George R. Stewart', 'George Rippey Stewart']"
James Brown,place of birth,Leith,In what city was James Brown born?,['Leith']
Partner,producer,Bernardo Bertolucci,Who was the producer of Partner?,['Bernardo Bertolucci']
Debbie Johnson,occupation,politician,What is Debbie Johnson's occupation?,"['politician', 'political leader', 'political figure', 'polit.', 'pol']"
Deadline,genre,thriller,What genre is Deadline?,"['thriller', 'suspense', 'thriller television program', 'thriller TV program', 'thriller television show', 'thriller TV show', 'suspense television program', 'suspense TV program', 'suspense television show', 'suspense TV show']"
Apollo,genre,rhythm and blues,What genre is Apollo?,"['rhythm and blues', 'R&B', 'RnB', 'RNB', 'R and B', 'R & B']"
Keeping the Moon,author,Sarah Dessen,Who is the author of Keeping the Moon?,['Sarah Dessen']
The Amusements of Private Life,screenwriter,Cristina Comencini,Who was the screenwriter for The Amusements of Private Life?,['Cristina Comencini']
The Promise,screenwriter,Margarethe von Trotta,Who was the screenwriter for The Promise?,"['Margarethe von Trotta', 'Margarethe Von Trotta']"
Magic,genre,soap opera,What genre is Magic?,"['soap opera', 'soap', 'soapie', 'soapopera']"
Tachibana no Moroe,occupation,poet,What is Tachibana no Moroe's occupation?,"['poet', 'poetess', 'bard']"
The Big City,director,Tod Browning,Who was the director of The Big City?,"['Tod Browning', 'Charles Albert Browning']"
Het uur tussen hond en wolf,author,Maarten 't Hart,Who is the author of Het uur tussen hond en wolf?,"[""Maarten 't Hart"", 'Martin Hart']"
Isabel's a Jezebel,composer,Galt MacDermot,Who was the composer of Isabel's a Jezebel?,"['Galt MacDermot', 'Arthur Terence Galt MacDermot']"
Maschenka,director,John Goldschmidt,Who was the director of Maschenka?,['John Goldschmidt']
Gun,director,Harish Raj,Who was the director of Gun?,['Harish Raj']
All the Way Up,director,James MacTaggart,Who was the director of All the Way Up?,['James MacTaggart']
Too Late,director,Lucian Pintilie,Who was the director of Too Late?,['Lucian Pintilie']
The Village,author,Kate Wilhelm,Who is the author of The Village?,['Kate Wilhelm']
David Homoláč,sport,association football,What sport does David Homoláč play?,"['association football', 'football', 'soccer']"
The Parents,screenwriter,Jordon Nardino,Who was the screenwriter for The Parents?,['Jordon Nardino']
Avatar,director,Carmine Gallone,Who was the director of Avatar?,"['Carmine Gallone', 'Carmelo Gallone']"
Brandon Bays,place of birth,United States of America,In what city was Brandon Bays born?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
Tony Shields,place of birth,Strabane,In what city was Tony Shields born?,"['Strabane', 'Straban', 'An Srath Bán', 'An Srath Ban']"
Invisible,author,Paul Auster,Who is the author of Invisible?,"['Paul Auster', 'Paul Benjamin', 'Paul Queen', 'Paul Benjamin Auster']"
The Challenge,screenwriter,John Gilling,Who was the screenwriter for The Challenge?,['John Gilling']
Ilja Rosendahl,occupation,actor,What is Ilja Rosendahl's occupation?,"['record producer', 'music producer', 'actor', 'actress', 'actors', 'actresses']"
Ignition City,author,Warren Ellis,Who is the author of Ignition City?,"['Warren Ellis', 'Warren Girard Ellis']"
Eileen,composer,Victor Herbert,Who was the composer of Eileen?,"['Victor Herbert', 'Victor August Herbert']"
Buzz,producer,Steve Taylor,Who was the producer of Buzz?,['Steve Taylor']
Arch,father,Kris S.,Who is the father of Arch?,['Kris S.']
The Wild,author,Whitley Strieber,Who is the author of The Wild?,"['Whitley Strieber', 'Louis Whitley Strieber']"
Che,director,Ebrahim Hatamikia,Who was the director of Che?,"['Ebrahim Hatamikia', 'Ebrahim Hatami-kia']"
Saidi Tama Nduwimana,sport,association football,What sport does Saidi Tama Nduwimana play?,"['association football', 'football', 'soccer']"
To Die For,author,Linda Howard,Who is the author of To Die For?,"['Linda Howard', 'Linda S. Howington']"
Hobbledehoy Record Co.,country,Australia,In what country is Hobbledehoy Record Co.?,"['Australia', 'Commonwealth of Australia', 'AU', 'AUS', 'au', 'British Colony of Australia', '🇦🇺', 'Straya', 'Aussieland']"
Sea Drift,composer,Frederick Delius,Who was the composer of Sea Drift?,"['Frederick Delius', 'Frederick Theodore Albert Delius', 'Fritz Theodore Albert Delius']"
Hatnagoda,country,Sri Lanka,In what country is Hatnagoda?,"['Sri Lanka', 'Democratic Socialist Republic of Sri Lanka', 'Ceylon', 'Taprobane', 'Serendib', 'Ceylan', '🇱🇰', 'lk', 'Lanka, Sri', 'sri', 'lke', 'ce', 'Srilanka', 'SRI', 'سرنديب', 'سيلان']"
Frank White,religion,Anglicanism,What is the religion of Frank White?,"['Anglicanism', 'Anglicanism, Anglican Church']"
The Moment's Energy,composer,Evan Parker,Who was the composer of The Moment's Energy?,['Evan Parker']
Hen Hop,producer,Norman McLaren,Who was the producer of Hen Hop?,"['Norman McLaren', 'Norman MacLaren', 'William Norman McLaren']"
Redemption,director,Jon Alpert,Who was the director of Redemption?,['Jon Alpert']
The Lie,producer,Independent Moving Pictures,Who was the producer of The Lie?,"['Independent Moving Pictures', 'Independent Moving Pictures Company']"
John Mitchell,place of birth,Dickson,In what city was John Mitchell born?,"['Dickson', 'Dickson, Tennessee']"
Student,director,Darezhan Omirbaev,Who was the director of Student?,['Darezhan Omirbaev']
Legion,screenwriter,Rob Grant,Who was the screenwriter for Legion?,"['Rob Grant', 'Robert Grant']"
Jadranka Šešelj,place of birth,Podujevo,In what city was Jadranka Šešelj born?,"['Podujevo', 'Podujeva', 'Podjeva', 'Besiana', 'Podujevë', 'Podjevë', 'Besianë']"
Robert Zawada,place of birth,Jedlnia-Letnisko,In what city was Robert Zawada born?,['Jedlnia-Letnisko']
Aliens,author,Mary Tappan Wright,Who is the author of Aliens?,['Mary Tappan Wright']
Ang Singsing ng Dalagang Marmol,author,Isabelo de los Reyes,Who is the author of Ang Singsing ng Dalagang Marmol?,"['Isabelo de los Reyes', 'Isabelo de los Reyes Sr.', 'Isabelo de los Reyes, Sr.', 'Isabelo de los Reyes y Florentino']"
Olivier Alary,occupation,composer,What is Olivier Alary's occupation?,['composer']
Sol Ky-Ong,sport,judo,What sport does Sol Ky-Ong play?,['judo']
After the End,author,Dennis Kelly,Who is the author of After the End?,['Dennis Kelly']
Hard to Get,screenwriter,Jerry Wald,Who was the screenwriter for Hard to Get?,"['Jerry Wald', 'Jerome Irving Wald']"
Havoc,screenwriter,Peter Fleischmann,Who was the screenwriter for Havoc?,['Peter Fleischmann']
The Cross,director,Matthew Crouch,Who was the director of The Cross?,['Matthew Crouch']
De Laatste Dagen van een Eiland,producer,Ernst Winar,Who was the producer of De Laatste Dagen van een Eiland?,['Ernst Winar']
The Bad One,genre,musical film,What genre is The Bad One?,"['musical film', 'musical movie']"
Manila,father,Lyphard,Who is the father of Manila?,['Lyphard']
The Hope,composer,Frederik Magle,Who was the composer of The Hope?,"['Frederik Magle', 'Frederik Reesen Magle', 'Magle', 'Frederick Magle']"
Richard Rawlinson,place of birth,London,In what city was Richard Rawlinson born?,"['London', 'London, UK', 'London, United Kingdom', 'London, England', 'Modern Babylon']"
Alarm,director,Alice O'Fredericks,Who was the director of Alarm?,"['Lau Lauritzen', ""Alice O'Fredericks""]"
The National Health,director,Jack Gold,Who was the director of The National Health?,['Jack Gold']
The Dub,director,James Cruze,Who was the director of The Dub?,['James Cruze']
Francesco Reda,sport,road bicycle racing,What sport does Francesco Reda play?,"['road bicycle racing', 'bicycle road cycling', 'bicycle road race', 'road bicycle race', 'road cycling race', 'road cycle racing', 'road bike racing', 'cycle race']"
The Shot,genre,reality television,What genre is The Shot?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']"
Harry W. Kvebæk,place of birth,Fetsund,In what city was Harry W. Kvebæk born?,['Fetsund']
These Children,director,Mario Mattoli,Who was the director of These Children?,['Mario Mattoli']
One of Those,director,Aldo Fabrizi,Who was the director of One of Those?,"['Aldo Fabrizi', 'Aldo Fabbrizi']"
Murray Shire,capital,Mathoura,What is the capital of Murray Shire?,"['Mathoura', 'Mathoura, New South Wales', 'Mathoura, New South Wales, Australia']"
Pârâul Bogat,country,Romania,In what country is Pârâul Bogat?,"['Romania', 'Roumania', 'Rumania', 'România', 'ro', '🇷🇴']"
Daigo Watanabe,sport,association football,What sport does Daigo Watanabe play?,"['association football', 'football', 'soccer']"
Victoria,director,Anna Karina,Who was the director of Victoria?,"['Anna Karina', 'Hanne Bayer', 'Hanne Karin Bayer', 'Hanne Karen Blarke Bayer', 'Hanne Karin Blarke Bayer']"
Home,producer,Carrie Akre,Who was the producer of Home?,['Carrie Akre']
Me and My Friend,genre,sitcom,What genre is Me and My Friend?,"['sitcom', 'situational comedy', 'situation comedy']"
Needle,author,Hal Clement,Who is the author of Needle?,"['Hal Clement', 'Harry Clement Stubbs', 'George Richard', 'Harry C. Stubbs', 'Harry Stubbs']"
United Theological Seminary of the Twin Cities,religion,United Church of Christ,What is the religion of United Theological Seminary of the Twin Cities?,"['United Church of Christ', 'UCC', 'Lancaster Theological Seminary']"
Ilya Nikiforov,place of birth,Saint Petersburg,In what city was Ilya Nikiforov born?,"['Saint Petersburg', 'St. Petersburg', 'Petrograd', 'Leningrad', 'Petersburg', 'Sankt-Peterburg', 'St Petersburg']"
Charles Combe,occupation,physician,What is Charles Combe's occupation?,"['physician', 'physicians', 'medical doctor', 'medical practitioner', 'doctor', 'medical doctors']"
Once a Hero,author,Elizabeth Moon,Who is the author of Once a Hero?,['Elizabeth Moon']
Echo,director,Hossein Shahabi,Who was the director of Echo?,['Hossein Shahabi']
The Marriage,genre,sitcom,What genre is The Marriage?,"['sitcom', 'situational comedy', 'situation comedy']"
Maurice Laing,father,John Laing,Who is the father of Maurice Laing?,"['John Laing', 'Sir John William Laing']"
Regal Embrace,father,Vice Regent,Who is the father of Regal Embrace?,['Vice Regent']
The Challenge,director,Milton Rosmer,Who was the director of The Challenge?,"['Milton Rosmer', 'Luis Trenker', 'Alois Franz Trenker']"
Tad,country,Iran,In what country is Tad?,"['Iran', 'Islamic Republic of Iran', 'Persia', 'ir', 'Islamic Rep. Iran', '🇮🇷']"
Nalbandyan,country,Armenia,In what country is Nalbandyan?,"['Armenia', 'Republic of Armenia', '🇦🇲', 'ARM', 'AM']"
The Roof,producer,Vittorio De Sica,Who was the producer of The Roof?,"['Vittorio De Sica', 'Vittorio de Sica']"
The Grave,author,James Heneghan,Who is the author of The Grave?,['James Heneghan']
Piotr Balcerzak,place of birth,Warsaw,In what city was Piotr Balcerzak born?,"['Warsaw', 'Warszawa', 'Varshe', 'Warschau', 'Varshava', 'Varšava', 'Varsó', 'Varsavia', 'Varsovie', 'Varsovia', 'Varšuva']"
Home Base,director,Colin Trevorrow,Who was the director of Home Base?,['Colin Trevorrow']
Marble,genre,pop music,What genre is Marble?,"['pop music', 'pop', 'Pop']"
Gmina Czorsztyn,capital,Maniowy,What is the capital of Gmina Czorsztyn?,['Maniowy']
Fear,screenwriter,Robert Wiene,Who was the screenwriter for Fear?,['Robert Wiene']
Gui d'Amiens,father,"Enguerrand I, Count of Ponthieu",Who is the father of Gui d'Amiens?,"['Enguerrand I, Count of Ponthieu', 'Enguerrand I, Comte de Ponthieu']"
Accident,director,Sergiu Nicolaescu,Who was the director of Accident?,"['Sergiu Nicolaescu', 'Sergiu Nicolaiescu', 'Sergiu Florin Nicolaescu']"
One of the Family,author,Monica Dickens,Who is the author of One of the Family?,"['Monica Dickens', 'Monica Enid Dickens']"
The Sisters,director,Christy Cabanne,Who was the director of The Sisters?,"['Christy Cabanne', 'William Christy Cabanne']"
The Club,genre,reality television,What genre is The Club?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']"
Manon,place of birth,Bern,In what city was Manon born?,"['Bern', 'Berne', 'city of Bern', 'Berna']"
The Desert Music,composer,Steve Reich,Who was the composer of The Desert Music?,"['Steve Reich', 'Stephen Reich', 'Stephen Michael Reich']"
Shine,genre,rock music,What genre is Shine?,"['rock music', 'rock and roll', 'rock', 'Rock']"
The Last Days of Pompeii,producer,Arturo Ambrosio,Who was the producer of The Last Days of Pompeii?,['Arturo Ambrosio']
Rose,author,Martin Cruz Smith,Who is the author of Rose?,"['Martin Cruz Smith', 'Nick Carter', 'Martin Smith', 'Jake Logan', 'Martin Quinn', 'Simon Quinn']"
Henry Soames,place of birth,Brighton,In what city was Henry Soames born?,"['Brighton', 'Brighthelmston', 'Brighthelmstone', 'Brighton, East Sussex', 'Brighton, England']"
Julie,director,Blake Edwards,Who was the director of Julie?,"['Blake Edwards', 'William Blake Crump']"
David Granger,place of birth,New York City,In what city was David Granger born?,"['New York City', 'NYC', 'New York', 'the five boroughs', 'Big Apple', 'City of New York', 'NY City', 'New York, New York', 'New York City, New York', 'New York, NY', 'New York City (NYC)']"
Evidence,director,Raghavan,Who was the director of Evidence?,['Raghavan']
That's My Boy,producer,Roy William Neill,Who was the producer of That's My Boy?,"['Roy William Neill', 'Roy Neill']"
The Hook,director,George Seaton,Who was the director of The Hook?,['George Seaton']
Target,director,Sandip Ray,Who was the director of Target?,['Sandip Ray']
Amen,screenwriter,Kim Ki-duk,Who was the screenwriter for Amen?,"['Kim Ki-duk', 'Ki-duk Kim', 'Kim Gi-deok']"
Eliza,composer,Thomas Arne,Who was the composer of Eliza?,"['Thomas Arne', 'Thomas Augustus Arne', 'Thomas Augustine Arne']"
Getaway,author,Leslie Charteris,Who is the author of Getaway?,"['Leslie Charteris', 'Leslie Charles Bowyer-Yin']"
Great Short Novels of Adult Fantasy I,author,Lin Carter,Who is the author of Great Short Novels of Adult Fantasy I?,"['Lin Carter', 'Linwood Vrooman Carter', 'Grail Undwin', 'H. P. Lowcraft', 'Linwood Carter']"
3 Minutes,producer,Don Le,Who was the producer of 3 Minutes?,"['Don Le', 'Don Pham Le', 'George Wang']"
Dick Leonard,place of birth,Romford,In what city was Dick Leonard born?,['Romford']
The Canadian,director,William Beaudine,Who was the director of The Canadian?,"['William Beaudine', 'William Washington Beaudine']"
In His Hands,screenwriter,Anne Fontaine,Who was the screenwriter for In His Hands?,"['Anne Fontaine', 'Anne Fontaine Sibertin-Blanc']"
Victory,director,Mikhail Doller,Who was the director of Victory?,"['Mikhail Doller', 'Mikhail Ivanovich Doller', 'Vsevolod Pudovkin', 'Vsevolod Illarionovich Pudovkin', 'Wsewolod Illarionowitsch Pudowkin']"
Get Happy with the Randy Weston Trio,genre,jazz,What genre is Get Happy with the Randy Weston Trio?,"['jazz', 'jazz music', 'jass', 'jas', 'jaz', 'Jazz']"
Aarno Maliniemi,place of birth,Oulu,In what city was Aarno Maliniemi born?,"['Oulu', 'Uleåborg', 'Uleaborg']"
Patrick Mulvany,occupation,politician,What is Patrick Mulvany's occupation?,"['farmer', 'agriculturist', 'grower', 'raiser', 'cultivator', 'agriculturer', 'farmer (occupation)', 'politician', 'political leader', 'political figure', 'polit.', 'pol']"
Housain Al-Mogahwi,sport,association football,What sport does Housain Al-Mogahwi play?,"['association football', 'football', 'soccer']"
Filthy!,producer,Papa John Creach,Who was the producer of Filthy!?,"['Papa John Creach', 'John Henry Creach']"
The Only Way,director,Herbert Wilcox,Who was the director of The Only Way?,"['Herbert Wilcox', 'Herbert Sydney Wilcox']"
Lek Kcira,sport,association football,What sport does Lek Kcira play?,"['association football', 'football', 'soccer']"
Actor's and Sin,director,Lee Garmes,Who was the director of Actor's and Sin?,"['Lee Garmes', 'Lee Dewey Garmes', 'Ben Hecht']"
The Moment,director,Gheorghe Vitanidis,Who was the director of The Moment?,['Gheorghe Vitanidis']
Arma,country,United States of America,In what country is Arma?,"['United States of America', 'the United States of America', 'America', 'U.S.A.', 'USA', 'U.S.', 'US', 'the US', 'the USA', 'US of A', 'the United States', 'U. S. A.', 'U. S.', 'the States', 'the U.S.', ""'Merica"", 'U.S', 'United States', ""'Murica""]"
The Arrangement,genre,reality television,What genre is The Arrangement?,"['reality television', 'reality TV', 'reality television program', 'reality TV program', 'reality television show', 'television reality program', 'television reality show', 'TV reality program', 'TV reality show']"
Early Man,producer,Steve Roach,Who was the producer of Early Man?,['Steve Roach']
L'ultima chance,director,Maurizio Lucidi,Who was the director of L'ultima chance?,['Maurizio Lucidi']
The Card,composer,Tony Hatch,Who was the composer of The Card?,"['Tony Hatch', 'Anthony Peter Hatch', 'Fred Nightingale', 'Mark Anthony', '00013564113 IPI', '00013563704 IPI']"
